,,Carpet Area Prices(Rs.Per Sq.Ft.),,,
Indore,Mar 2022,"4,063","3,748","4,064","4,994"
Indore,Jun 2022,"4,147","3,735","4,177","5,259"
Indore,Sep 2022,"4,173","3,686","4,235","5,399"
Indore,Dec 2022,"4,219","3,635","4,372","5,405"
Indore,Mar 2023,"4,259","3,519","4,499","5,601"
Indore,Jun 2023,"4,297","3,519","4,568","5,644"
Indore,Sep 2023,"4,401","3,525","4,751","5,757"
Indore,Dec 2023,"4,367","3,416","4,778","5,729"
Indore,Mar 2024,"4,450","3,525","4,834","5,827"
Indore,Jun 2024,"4,509","3,618","4,910","5,726"
Indore,Sep 2024,"4,608","3,767","5,006","5,686"
Chandigarh (Tricity),Jun-2013,"4,150","3,743","3,825","4,816"
Chandigarh (Tricity),Sep-2013,"4,082","4,008","3,753","4,523"
Chandigarh (Tricity),Dec-2013,"3,936","3,910","3,907","3,988"
Chandigarh (Tricity),Mar-2014,"3,986","4,395","3,897","3,811"
Chandigarh (Tricity),Jun-2014,"3,953","4,553","3,824","3,696"
Chandigarh (Tricity),Sep-2014,"4,063","4,759","3,795","3,904"
Chandigarh (Tricity),Dec-2014,"4,052","4,929","3,657","3,920"
Chandigarh (Tricity),Mar-2015,"4,200","5,147","3,662","4,189"
Chandigarh (Tricity),Jun-2015,"4,241","4,886","3,758","4,374"
Chandigarh (Tricity),Sep-2015,"4,163","4,923","3,901","3,953"
Chandigarh (Tricity),Dec-2015,"4,235","4,911","4,127","3,899"
Chandigarh (Tricity),Mar-2016,"4,349","5,194","4,107","4,058"
Chandigarh (Tricity),Jun-2016,"4,223","4,749","3,979","4,151"
Chandigarh (Tricity),Sep-2016,"4,139","4,430","3,853","4,280"
Chandigarh (Tricity),Dec-2016,"4,073","4,529","3,693","4,212"
Chandigarh (Tricity),Mar-2017,"3,977","4,169","3,738","4,128"
Chandigarh (Tricity),Jun-2017,"3,933","3,876","3,801","4,129"
Chandigarh (Tricity),Sep-2017,"3,940","3,689","3,880","4,183"
Chandigarh (Tricity),Dec-2017,"3,989","3,561","3,851","4,448"
Chandigarh (Tricity),Mar-2018,"4,088","3,692","3,839","4,655"
Chandigarh (Tricity),JUN-2018,"4,238","4,076","3,930","4,716"
Chandigarh (Tricity),SEP-2018,"4,251","4,259","3,937","4,619"
Chandigarh (Tricity),DEC 2018,"4,299","4,516","4,020","4,482"
Chandigarh (Tricity),Mar 2019,"4,270","4,570","4,038","4,341"
Chandigarh (Tricity),Jun 2019,"4,292","4,710","4,045","4,299"
Chandigarh (Tricity),Sep 2019,"4,338","4,805","4,086","4,318"
Chandigarh (Tricity),Dec 2019,"4,353","4,728","4,072","4,430"
Chandigarh (Tricity),Mar 2020,"4,418","4,758","4,075","4,592"
Chandigarh (Tricity),Jun 2020,"4,429","4,727","4,120","4,590"
Chandigarh (Tricity),Sep 2020,"4,493","4,691","4,100","4,823"
Chandigarh (Tricity),Dec 2020,"4,551","4,797","4,166","4,839"
Chandigarh (Tricity),Mar 2021,"4,702","4,845","4,337","5,038"
Chandigarh (Tricity),Jun 2021,"4,664","4,923","4,361","4,846"
Chandigarh (Tricity),Sep 2021,"4,730","5,004","4,513","4,799"
Chandigarh (Tricity),Dec 2021,"4,806","5,027","4,596","4,903"
Chandigarh (Tricity),Mar 2022,"4,744","5,157","4,488","4,763"
Chandigarh (Tricity),Jun 2022,"4,860","5,250","4,514","5,004"
Chandigarh (Tricity),Sep 2022,"5,003","5,361","4,601","5,234"
Chandigarh (Tricity),Dec 2022,"5,082","5,554","4,708","5,202"
Chandigarh (Tricity),Mar 2023,"5,340","5,784","5,027","5,407"
Chandigarh (Tricity),Jun 2023,"5,603","5,957","5,320","5,698"
Chandigarh (Tricity),Sep 2023,"5,711","6,189","5,522","5,607"
Chandigarh (Tricity),Dec 2023,"6,093","6,418","5,786","6,235"
Chandigarh (Tricity),Mar 2024,"6,273","6,638","5,960","6,396"
Chandigarh (Tricity),Jun 2024,"6,348","6,806","6,107","6,319"
Chandigarh (Tricity),Sep 2024,"6,751","6,985","6,351","7,066"
Jaipur,Jun-2013,"3,252","3,191","3,241","3,381"
Jaipur,Sep-2013,"3,347","3,310","3,308","3,542"
Jaipur,Dec-2013,"3,434","3,432","3,374","3,654"
Jaipur,Mar-2014,"3,493","3,470","3,433","3,741"
Jaipur,Jun-2014,"3,622","3,634","3,565","3,807"
Jaipur,Sep-2014,"3,802","3,746","3,778","3,972"
Jaipur,Dec-2014,"3,919","3,767","3,940","4,071"
Jaipur,Mar-2015,"3,980","3,787","4,001","4,191"
Jaipur,Jun-2015,"4,043","3,777","4,072","4,338"
Jaipur,Sep-2015,"4,030","3,745","4,082","4,269"
Jaipur,Dec-2015,"4,056","3,768","4,099","4,336"
Jaipur,Mar-2016,"4,152","3,854","4,144","4,624"
Jaipur,Jun-2016,"4,166","3,877","4,147","4,668"
Jaipur,Sep-2016,"4,188","3,845","4,145","4,857"
Jaipur,Dec-2016,"4,177","3,823","4,124","4,895"
Jaipur,Mar-2017,"4,157","3,780","4,140","4,785"
Jaipur,Jun-2017,"3,942","3,573","3,923","4,562"
Jaipur,Sep-2017,"3,760","3,434","3,742","4,314"
Jaipur,Dec-2017,"3,620","3,227","3,598","4,292"
Jaipur,Mar-2018,"3,572","3,143","3,535","4,347"
Jaipur,JUN-2018,"3,565","3,101","3,521","4,419"
Jaipur,SEP-2018,"3,624","3,165","3,584","4,454"
Jaipur,DEC 2018,"3,696","3,260","3,665","4,459"
Jaipur,Mar 2019,"3,694","3,260","3,696","4,340"
Jaipur,Jun 2019,"3,748","3,285","3,755","4,419"
Jaipur,Sep 2019,"3,774","3,270","3,784","4,494"
Jaipur,Dec 2019,"3,772","3,207","3,811","4,477"
Jaipur,Mar 2020,"3,805","3,173","3,863","4,543"
Jaipur,Jun 2020,"3,798","3,161","3,879","4,464"
Jaipur,Sep 2020,"3,756","3,134","3,859","4,319"
Jaipur,Dec 2020,"3,733","3,148","3,841","4,223"
Jaipur,Mar 2021,"3,717","3,199","3,834","4,076"
Jaipur,Jun 2021,"3,740","3,252","3,859","4,045"
Jaipur,Sep 2021,"3,788","3,297","3,894","4,142"
Jaipur,Dec 2021,"3,881","3,430","3,970","4,234"
Jaipur,Mar 2022,"4,005","3,577","4,113","4,263"
Jaipur,Jun 2022,"4,100","3,601","4,211","4,448"
Jaipur,Sep 2022,"4,215","3,695","4,343","4,535"
Jaipur,Dec 2022,"4,326","3,774","4,488","4,572"
Jaipur,Mar 2023,"4,437","3,934","4,562","4,743"
Jaipur,Jun 2023,"4,496","4,047","4,619","4,726"
Jaipur,Sep 2023,"4,566","4,145","4,678","4,795"
Jaipur,Dec 2023,"4,640","4,249","4,712","4,967"
Jaipur,Mar 2024,"4,702","4,283","4,771","5,083"
Jaipur,Jun 2024,"4,801","4,393","4,865","5,183"
Jaipur,Sep 2024,"4,876","4,424","4,954","5,275"
Surat,Jun-2013,"3,225","3,252","3,045","3,522"
Surat,Sep-2013,"3,200","3,183","3,054","3,510"
Surat,Dec-2013,"3,275","3,340","3,098","3,500"
Surat,Mar-2014,"3,304","3,320","3,158","3,555"
Surat,Jun-2014,"3,371","3,424","3,223","3,565"
Surat,Sep-2014,"3,446","3,570","3,254","3,601"
Surat,Dec-2014,"3,478","3,544","3,297","3,712"
Surat,Mar-2015,"3,448","3,491","3,255","3,746"
Surat,Jun-2015,"3,399","3,424","3,185","3,767"
Surat,Sep-2015,"3,345","3,298","3,154","3,791"
Surat,Dec-2015,"3,323","3,315","3,091","3,782"
Surat,Mar-2016,"3,405","3,487","3,092","3,865"
Surat,Jun-2016,"3,522","3,612","3,180","4,022"
Surat,Sep-2016,"3,624","3,747","3,214","4,198"
Surat,Dec-2016,"3,754","3,870","3,308","4,405"
Surat,Mar-2017,"3,792","3,847","3,375","4,497"
Surat,Jun-2017,"3,874","3,811","3,510","4,684"
Surat,Sep-2017,"3,878","3,730","3,581","4,709"
Surat,Dec-2017,"4,015","3,792","3,796","4,823"
Surat,Mar-2018,"4,153","3,893","3,943","5,009"
Surat,JUN-2018,"4,169","3,716","4,052","5,184"
Surat,SEP-2018,"4,266","3,613","4,224","5,485"
Surat,DEC 2018,"4,279","3,669","4,172","5,545"
Surat,Mar 2019,"4,290","3,700","4,169","5,548"
Surat,Jun 2019,"4,355","3,966","4,143","5,442"
Surat,Sep 2019,"4,516","4,411","4,194","5,318"
Surat,Dec 2019,"4,632","4,429","4,381","5,470"
Surat,Mar 2020,"4,656","4,433","4,424","5,488"
Surat,Jun 2020,"4,782","4,470","4,638","5,601"
Surat,Sep 2020,"4,849","4,453","4,783","5,667"
Surat,Dec 2020,"4,876","4,511","4,750","5,753"
Surat,Mar 2021,"4,920","4,631","4,806","5,640"
Surat,Jun 2021,"5,001","4,625","4,839","5,967"
Surat,Sep 2021,"5,003","4,654","4,797","6,006"
Surat,Dec 2021,"5,013","4,674","4,797","6,018"
Surat,Mar 2022,"5,194","4,733","4,999","6,372"
Surat,Jun 2022,"5,248","4,733","5,132","6,366"
Surat,Sep 2022,"5,439","4,773","5,385","6,701"
Surat,Dec 2022,"5,709","4,849","5,767","7,095"
Surat,Mar 2023,"5,859","4,852","5,922","7,493"
Surat,Jun 2023,"6,008","4,911","6,022","7,889"
Surat,Sep 2023,"6,116","4,960","6,103","8,152"
Surat,Dec 2023,"6,207","4,985","6,116","8,511"
Surat,Mar 2024,"6,367","5,016","6,335","8,783"
Surat,Jun 2024,"6,464","5,047","6,487","8,891"
Surat,Sep 2024,"6,542","5,091","6,554","9,045"
Vadodara,Jun-2013,"2,725","2,626","2,779","2,863"
Vadodara,Sep-2013,"2,759","2,698","2,777","2,900"
Vadodara,Dec-2013,"2,807","2,769","2,790","3,004"
Vadodara,Mar-2014,"2,820","2,839","2,756","3,003"
Vadodara,Jun-2014,"2,826","2,868","2,736","3,028"
Vadodara,Sep-2014,"2,872","2,917","2,778","3,079"
Vadodara,Dec-2014,"2,887","2,955","2,781","3,062"
Vadodara,Mar-2015,"2,901","2,942","2,823","3,065"
Vadodara,Jun-2015,"2,911","2,968","2,823","3,053"
Vadodara,Sep-2015,"2,890","2,961","2,788","3,035"
Vadodara,Dec-2015,"2,894","2,975","2,787","3,024"
Vadodara,Mar-2016,"2,875","2,968","2,760","2,992"
Vadodara,Jun-2016,"2,886","2,969","2,768","3,057"
Vadodara,Sep-2016,"2,901","2,952","2,807","3,091"
Vadodara,Dec-2016,"2,904","2,930","2,824","3,125"
Vadodara,Mar-2017,"2,951","2,962","2,863","3,255"
Vadodara,Jun-2017,"2,948","2,978","2,867","3,160"
Vadodara,Sep-2017,"2,947","3,023","2,823","3,167"
Vadodara,Dec-2017,"3,035","3,180","2,851","3,242"
Vadodara,Mar-2018,"3,073","3,261","2,848","3,288"
Vadodara,JUN-2018,"3,174","3,406","2,910","3,386"
Vadodara,SEP-2018,"3,236","3,475","2,973","3,413"
Vadodara,DEC 2018,"3,224","3,443","2,987","3,378"
Vadodara,Mar 2019,"3,288","3,473","3,077","3,462"
Vadodara,Jun 2019,"3,379","3,530","3,197","3,555"
Vadodara,Sep 2019,"3,514","3,583","3,394","3,736"
Vadodara,Dec 2019,"3,702","3,655","3,671","3,985"
Vadodara,Mar 2020,"3,825","3,744","3,835","4,073"
Vadodara,Jun 2020,"3,889","3,769","3,928","4,157"
Vadodara,Sep 2020,"3,906","3,855","3,893","4,134"
Vadodara,Dec 2020,"3,903","3,944","3,824","4,065"
Vadodara,Mar 2021,"3,915","3,966","3,837","4,039"
Vadodara,Jun 2021,"3,963","3,997","3,888","4,133"
Vadodara,Sep 2021,"4,029","4,073","3,950","4,187"
Vadodara,Dec 2021,"4,168","4,156","4,121","4,397"
Vadodara,Mar 2022,"4,332","4,291","4,301","4,594"
Vadodara,Jun 2022,"4,426","4,358","4,431","4,650"
Vadodara,Sep 2022,"4,585","4,430","4,660","4,835"
Vadodara,Dec 2022,"4,704","4,497","4,818","4,988"
Vadodara,Mar 2023,"4,863","4,547","5,057","5,215"
Vadodara,Jun 2023,"4,916","4,586","5,109","5,322"
Vadodara,Sep 2023,"4,983","4,635","5,162","5,506"
Vadodara,Dec 2023,"5,040","4,679","5,190","5,727"
Vadodara,Mar 2024,"5,062","4,737","5,190","5,706"
Vadodara,Jun 2024,"5,079","4,752","5,209","5,722"
Vadodara,Sep 2024,"5,109","4,808","5,196","5,824"
Kochi,Jun-2013,"4,114","4,077","3,934","4,369"
Kochi,Sep-2013,"4,200","4,248","3,920","4,573"
Kochi,Dec-2013,"4,288","4,529","3,920","4,735"
Kochi,Mar-2014,"4,463","4,525","3,996","5,089"
Kochi,Jun-2014,"4,511","4,469","4,082","5,108"
Kochi,Sep-2014,"4,634","4,287","4,317","5,149"
Kochi,Dec-2014,"4,666","4,203","4,400","5,136"
Kochi,Mar-2015,"4,678","4,334","4,416","5,117"
Kochi,Jun-2015,"4,717","4,447","4,413","5,196"
Kochi,Sep-2015,"4,770","4,472","4,422","5,315"
Kochi,Dec-2015,"4,848","4,617","4,446","5,451"
Kochi,Mar-2016,"5,053","4,678","4,831","5,445"
Kochi,Jun-2016,"5,217","4,814","5,096","5,475"
Kochi,Sep-2016,"5,456","4,909","5,363","5,709"
Kochi,Dec-2016,"5,602","5,110","5,511","5,840"
Kochi,Mar-2017,"5,695","5,374","5,517","6,014"
Kochi,Jun-2017,"5,905","5,138","5,581","6,525"
Kochi,Sep-2017,"5,733","5,076","5,440","6,287"
Kochi,Dec-2017,"5,828","4,990","5,545","6,410"
Kochi,Mar-2018,"5,692","5,025","5,377","6,277"
Kochi,JUN-2018,"5,708","5,104","5,366","6,314"
Kochi,SEP-2018,"5,796","5,152","5,365","6,534"
Kochi,DEC 2018,"5,759","4,965","5,338","6,520"
Kochi,Mar 2019,"5,889","4,911","5,410","6,770"
Kochi,Jun 2019,"5,969","5,062","5,499","6,821"
Kochi,Sep 2019,"6,160","5,297","5,756","6,913"
Kochi,Dec 2019,"6,330","5,734","5,812","7,177"
Kochi,Mar 2020,"6,501","5,844","5,903","7,471"
Kochi,Jun 2020,"6,604","5,730","5,922","7,741"
Kochi,Sep 2020,"6,690","5,767","5,712","8,241"
Kochi,Dec 2020,"6,843","5,994","5,882","8,356"
Kochi,Mar 2021,"6,871","6,028","6,010","8,244"
Kochi,Jun 2021,"6,893","6,262","6,013","8,245"
Kochi,Sep 2021,"6,949","6,187","6,147","8,223"
Kochi,Dec 2021,"6,871","6,648","6,104","7,971"
Kochi,Mar 2022,"6,877","6,507","6,026","8,126"
Kochi,Jun 2022,"6,983","6,185","6,163","8,290"
Kochi,Sep 2022,"7,491","10,605","6,479","8,157"
Kochi,Dec 2022,"7,969","12,703","6,797","8,482"
Kochi,Mar 2023,"7,802","11,245","6,976","8,140"
Kochi,Jun 2023,"7,698","10,666","7,047","7,904"
Kochi,Sep 2023,"7,557","9,354","6,993","7,916"
Kochi,Dec 2023,"7,396","7,884","6,828","8,062"
Kochi,Mar 2024,"7,504","8,449","6,688","8,404"
Kochi,Jun 2024,"7,842","8,995","6,703","9,134"
Kochi,Sep 2024,"7,839","9,021","6,597","9,266"
Kanpur,Jun-2013,"3,102","3,314","3,086","2,764"
Kanpur,Sep-2013,"3,227","3,423","3,200","2,947"
Kanpur,Dec-2013,"3,337","3,308","3,331","3,404"
Kanpur,Mar-2014,"3,538","3,796","3,331","3,682"
Kanpur,Jun-2014,"3,695","4,086","3,413","3,811"
Kanpur,Sep-2014,"3,825","4,169","3,565","3,964"
Kanpur,Dec-2014,"3,951","4,557","3,616","3,832"
Kanpur,Mar-2015,"3,569","3,024","3,824","3,812"
Kanpur,Jun-2015,"3,601","2,877","3,930","3,950"
Kanpur,Sep-2015,"3,629","2,883","3,999","3,896"
Kanpur,Dec-2015,"3,677","2,855","4,111","3,897"
Kanpur,Mar-2016,"3,739","2,888","4,163","4,038"
Kanpur,Jun-2016,"3,838","2,978","4,306","4,022"
Kanpur,Sep-2016,"3,991","3,114","4,478","4,155"
Kanpur,Dec-2016,"4,247","3,744","4,538","4,304"
Kanpur,Mar-2017,"4,500","4,272","4,698","4,332"
Kanpur,Jun-2017,"4,395","4,121","4,605","4,273"
Kanpur,Sep-2017,"4,320","3,892","4,543","4,440"
Kanpur,Dec-2017,"4,472","3,977","4,646","4,863"
Kanpur,Mar-2018,"4,347","3,896","4,511","4,684"
Kanpur,JUN-2018,"4,349","3,867","4,473","4,865"
Kanpur,SEP-2018,"4,387","4,011","4,502","4,735"
Kanpur,DEC 2018,"4,352","3,960","4,574","4,411"
Kanpur,Mar 2019,"4,508","4,108","4,741","4,553"
Kanpur,Jun 2019,"4,633","4,398","4,813","4,532"
Kanpur,Sep 2019,"4,683","4,391","4,860","4,693"
Kanpur,Dec 2019,"4,740","4,697","4,776","4,710"
Kanpur,Mar 2020,"4,771","4,801","4,778","4,695"
Kanpur,Jun 2020,"4,823","4,744","4,868","4,833"
Kanpur,Sep 2020,"4,864","4,853","4,980","4,544"
Kanpur,Dec 2020,"4,911","4,581","5,182","4,712"
Kanpur,Mar 2021,"4,972","4,638","5,292","4,635"
Kanpur,Jun 2021,"4,976","4,576","5,332","4,652"
Kanpur,Sep 2021,"5,094","4,604","5,375","5,158"
Kanpur,Dec 2021,"5,249","4,814","5,484","5,347"
Kanpur,Mar 2022,"5,290","4,831","5,517","5,456"
Kanpur,Jun 2022,"5,379","4,973","5,547","5,625"
Kanpur,Sep 2022,"5,468","5,055","5,631","5,741"
Kanpur,Dec 2022,"5,466","4,962","5,651","5,840"
Kanpur,Mar 2023,"5,531","4,911","5,729","6,080"
Kanpur,Jun 2023,"5,502","4,863","5,788","5,827"
Kanpur,Sep 2023,"5,462","4,738","5,790","5,811"
Kanpur,Dec 2023,"5,509","4,878","5,837","5,688"
Kanpur,Mar 2024,"5,575","4,933","5,917","5,733"
Kanpur,Jun 2024,"5,689","5,066","5,995","5,923"
Kanpur,Sep 2024,"5,872","5,362","6,180","5,893"
Lucknow,Jun-2013,"3,323","3,011","3,181","3,727"
Lucknow,Sep-2013,"3,502","3,051","3,289","4,099"
Lucknow,Dec-2013,"3,621","3,054","3,508","4,157"
Lucknow,Mar-2014,"3,758","3,475","3,662","4,079"
Lucknow,Jun-2014,"3,755","3,742","3,710","3,825"
Lucknow,Sep-2014,"3,698","3,716","3,732","3,638"
Lucknow,Dec-2014,"3,687","3,813","3,707","3,574"
Lucknow,Mar-2015,"3,687","3,794","3,731","3,554"
Lucknow,Jun-2015,"3,732","3,718","3,761","3,703"
Lucknow,Sep-2015,"3,792","3,774","3,738","3,880"
Lucknow,Dec-2015,"3,899","3,891","3,809","4,030"
Lucknow,Mar-2016,"3,983","3,953","3,868","4,162"
Lucknow,Jun-2016,"4,077","4,047","3,965","4,251"
Lucknow,Sep-2016,"4,226","4,074","4,183","4,388"
Lucknow,Dec-2016,"4,276","4,014","4,292","4,428"
Lucknow,Mar-2017,"4,313","4,054","4,393","4,375"
Lucknow,Jun-2017,"4,319","3,995","4,472","4,324"
Lucknow,Sep-2017,"4,229","3,910","4,368","4,249"
Lucknow,Dec-2017,"4,167","3,819","4,320","4,187"
Lucknow,Mar-2018,"4,264","3,886","4,388","4,344"
Lucknow,JUN-2018,"4,321","3,948","4,436","4,410"
Lucknow,SEP-2018,"4,399","4,020","4,496","4,518"
Lucknow,DEC 2018,"4,422","4,211","4,502","4,451"
Lucknow,Mar 2019,"4,442","4,266","4,502","4,476"
Lucknow,Jun 2019,"4,501","4,342","4,527","4,570"
Lucknow,Sep 2019,"4,622","4,554","4,637","4,648"
Lucknow,Dec 2019,"4,857","4,649","4,838","5,021"
Lucknow,Mar 2020,"4,841","4,628","4,852","4,968"
Lucknow,Jun 2020,"4,879","4,812","4,884","4,918"
Lucknow,Sep 2020,"4,838","4,647","4,844","4,955"
Lucknow,Dec 2020,"4,802","4,524","4,809","4,978"
Lucknow,Mar 2021,"4,736","4,119","4,825","5,024"
Lucknow,Jun 2021,"4,773","4,119","4,872","5,072"
Lucknow,Sep 2021,"4,868","4,284","4,958","5,132"
Lucknow,Dec 2021,"4,905","4,205","5,072","5,142"
Lucknow,Mar 2022,"5,174","4,534","5,350","5,357"
Lucknow,Jun 2022,"5,185","4,355","5,378","5,472"
Lucknow,Sep 2022,"5,290","4,415","5,495","5,590"
Lucknow,Dec 2022,"5,385","4,548","5,548","5,719"
Lucknow,Mar 2023,"5,392","4,584","5,518","5,755"
Lucknow,Jun 2023,"5,422","4,652","5,560","5,744"
Lucknow,Sep 2023,"5,454","4,425","5,631","5,894"
Lucknow,Dec 2023,"5,579","4,548","5,763","6,012"
Lucknow,Mar 2024,"5,683","4,603","5,927","6,064"
Lucknow,Jun 2024,"5,833","4,859","6,050","6,184"
Lucknow,Sep 2024,"6,028","5,322","6,214","6,242"
Coimbatore,Jun-2013,"4,166","3,527","4,058","4,650"
Coimbatore,Sep-2013,"4,338","3,815","4,251","4,734"
Coimbatore,Dec-2013,"4,629","4,579","4,475","4,897"
Coimbatore,Mar-2014,"4,640","4,420","4,518","4,941"
Coimbatore,Jun-2014,"4,684","4,412","4,565","5,005"
Coimbatore,Sep-2014,"4,680","4,210","4,569","5,087"
Coimbatore,Dec-2014,"4,730","4,287","4,552","5,227"
Coimbatore,Mar-2015,"4,738","4,610","4,544","5,106"
Coimbatore,Jun-2015,"4,750","4,552","4,518","5,209"
Coimbatore,Sep-2015,"4,803","4,921","4,519","5,187"
Coimbatore,Dec-2015,"4,809","5,035","4,487","5,203"
Coimbatore,Mar-2016,"4,873","4,951","4,597","5,268"
Coimbatore,Jun-2016,"4,989","4,927","4,719","5,442"
Coimbatore,Sep-2016,"5,066","4,786","4,913","5,444"
Coimbatore,Dec-2016,"4,793","4,490","4,796","4,940"
Coimbatore,Mar-2017,"4,646","4,298","4,755","4,647"
Coimbatore,Jun-2017,"4,558","4,234","4,677","4,533"
Coimbatore,Sep-2017,"4,455","4,158","4,535","4,478"
Coimbatore,Dec-2017,"4,600","4,293","4,681","4,626"
Coimbatore,Mar-2018,"4,732","4,745","4,673","4,819"
Coimbatore,JUN-2018,"4,786","5,142","4,705","4,737"
Coimbatore,SEP-2018,"5,027","5,386","4,859","5,112"
Coimbatore,DEC 2018,"5,194","5,703","5,004","5,240"
Coimbatore,Mar 2019,"5,459","5,819","5,222","5,651"
Coimbatore,Jun 2019,"5,645","5,993","5,395","5,864"
Coimbatore,Sep 2019,"5,591","6,074","5,374","5,692"
Coimbatore,Dec 2019,"5,599","5,690","5,387","5,885"
Coimbatore,Mar 2020,"5,463","5,565","5,174","5,866"
Coimbatore,Jun 2020,"5,395","5,471","5,032","5,925"
Coimbatore,Sep 2020,"5,303","5,189","5,068","5,726"
Coimbatore,Dec 2020,"5,294","5,173","5,101","5,656"
Coimbatore,Mar 2021,"5,305","4,879","5,317","5,499"
Coimbatore,Jun 2021,"5,307","4,850","5,333","5,493"
Coimbatore,Sep 2021,"5,428","4,961","5,310","5,842"
Coimbatore,Dec 2021,"5,582","4,947","5,412","6,163"
Coimbatore,Mar 2022,"5,951","5,194","5,426","7,146"
Coimbatore,Jun 2022,"6,157","5,353","5,658","7,336"
Coimbatore,Sep 2022,"6,295","5,612","5,865","7,305"
Coimbatore,Dec 2022,"6,382","5,971","6,056","7,097"
Coimbatore,Mar 2023,"6,268","5,943","6,170","6,583"
Coimbatore,Jun 2023,"6,147","6,211","6,060","6,252"
Coimbatore,Sep 2023,"5,982","6,140","6,049","5,798"
Coimbatore,Dec 2023,"6,058","6,067","6,158","5,896"
Coimbatore,Mar 2024,"6,307","6,562","6,375","6,077"
Coimbatore,Jun 2024,"6,704","7,028","6,742","6,486"
Coimbatore,Sep 2024,"7,099","7,490","6,927","7,174"
Raipur,Jun-2013,"2,724","2,577","2,829","2,832"
Raipur,Sep-2013,"2,833","2,646","2,926","3,040"
Raipur,Dec-2013,"2,792","2,431","3,005","3,136"
Raipur,Mar-2014,"2,968","2,608","3,107","3,442"
Raipur,Jun-2014,"2,893","2,599","3,026","3,245"
Raipur,Sep-2014,"2,894","2,605","2,980","3,321"
Raipur,Dec-2014,"2,865","2,548","2,979","3,297"
Raipur,Mar-2015,"2,892","2,588","3,007","3,299"
Raipur,Jun-2015,"2,954","2,615","3,054","3,461"
Raipur,Sep-2015,"2,960","2,575","3,124","3,438"
Raipur,Dec-2015,"2,945","2,557","3,095","3,454"
Raipur,Mar-2016,"2,938","2,578","3,082","3,406"
Raipur,Jun-2016,"2,977","2,611","3,127","3,442"
Raipur,Sep-2016,"3,083","2,692","3,245","3,580"
Raipur,Dec-2016,"3,176","2,846","3,317","3,586"
Raipur,Mar-2017,"3,284","2,904","3,463","3,727"
Raipur,Jun-2017,"3,218","2,695","3,540","3,689"
Raipur,Sep-2017,"3,090","2,544","3,417","3,604"
Raipur,Dec-2017,"3,130","2,527","3,499","3,680"
Raipur,Mar-2018,"3,096","2,580","3,404","3,582"
Raipur,JUN-2018,"3,114","2,615","3,386","3,626"
Raipur,SEP-2018,"3,170","2,625","3,493","3,684"
Raipur,DEC 2018,"3,167","2,542","3,572","3,697"
Raipur,Mar 2019,"3,308","2,646","3,751","3,842"
Raipur,Jun 2019,"3,402","2,689","3,919","3,905"
Raipur,Sep 2019,"3,464","2,795","3,975","3,888"
Raipur,Dec 2019,"3,627","3,064","4,081","3,940"
Raipur,Mar 2020,"3,562","2,803","4,151","4,027"
Raipur,Jun 2020,"3,474","2,641","4,115","3,993"
Raipur,Sep 2020,"3,486","2,553","4,141","4,183"
Raipur,Dec 2020,"3,571","2,646","4,169","4,353"
Raipur,Mar 2021,"3,579","2,679","4,110","4,435"
Raipur,Jun 2021,"3,662","2,799","4,187","4,454"
Raipur,Sep 2021,"3,761","2,959","4,266","4,465"
Raipur,Dec 2021,"3,753","3,020","4,245","4,341"
Raipur,Mar 2022,"4,018","3,412","4,383","4,583"
Raipur,Jun 2022,"4,024","3,508","4,314","4,543"
Raipur,Sep 2022,"4,041","3,468","4,363","4,614"
Raipur,Dec 2022,"3,934","3,165","4,350","4,733"
Raipur,Mar 2023,"3,671","2,669","4,305","4,543"
Raipur,Jun 2023,"3,642","2,576","4,342","4,525"
Raipur,Sep 2023,"3,498","2,401","4,170","4,494"
Raipur,Dec 2023,"3,446","2,231","4,229","4,478"
Raipur,Mar 2024,"3,490","2,320","4,157","4,645"
Raipur,Jun 2024,"3,539","2,292","4,261","4,749"
Raipur,Sep 2024,"3,635","2,336","4,413","4,847"
Patna,Jun-2013,"2,940","3,136","3,008","2,703"
Patna,Sep-2013,"3,074","3,227","3,149","2,822"
Patna,Dec-2013,"3,204","3,062","3,293","2,980"
Patna,Mar-2014,"3,373","3,745","3,418","3,161"
Patna,Jun-2014,"3,414","3,748","3,486","3,129"
Patna,Sep-2014,"3,383","3,615","3,400","3,281"
Patna,Dec-2014,"3,367","3,965","3,378","3,196"
Patna,Mar-2015,"3,367","3,920","3,384","3,194"
Patna,Jun-2015,"3,382","3,787","3,366","3,337"
Patna,Sep-2015,"3,457","3,966","3,472","3,299"
Patna,Dec-2015,"3,512","3,789","3,496","3,497"
Patna,Mar-2016,"3,581","3,816","3,531","3,669"
Patna,Jun-2016,"3,624","4,098","3,569","3,677"
Patna,Sep-2016,"3,688","4,050","3,620","3,799"
Patna,Dec-2016,"3,648","3,716","3,676","3,553"
Patna,Mar-2017,"3,587","3,706","3,703","3,226"
Patna,Jun-2017,"3,675","3,680","3,802","3,312"
Patna,Sep-2017,"3,731","3,855","3,833","3,410"
Patna,Dec-2017,"3,817","4,325","3,874","3,539"
Patna,Mar-2018,"3,912","4,488","3,944","3,689"
Patna,JUN-2018,"3,939","4,554","3,971","3,709"
Patna,SEP-2018,"3,951","4,705","3,989","3,670"
Patna,DEC 2018,"4,066","4,853","4,129","3,704"
